영업소코드,영업소명,연월,차종,교통량
150,북부산,2014-01,4종,39284
150,북부산,2014-01,5종,81218
150,북부산,2014-01,6종,148844
151,북대전,2014-01,1종,632948
151,북대전,2014-01,2종,15914
151,북대전,2014-01,3종,27831
151,북대전,2014-01,4종,17575
151,북대전,2014-01,5종,14710
151,북대전,2014-01,6종,35262
152,유성,2014-01,1종,951575
152,유성,2014-01,2종,21987
152,유성,2014-01,3종,34611
152,유성,2014-01,4종,16936
152,유성,2014-01,5종,12935
152,유성,2014-01,6종,43487
153,서대전,2014-01,1종,618601
153,서대전,2014-01,2종,18387
153,서대전,2014-01,3종,15938
153,서대전,2014-01,4종,15022
153,서대전,2014-01,5종,13446
153,서대전,2014-01,6종,34333
154,안영,2014-01,1종,384754
154,안영,2014-01,2종,13896
154,안영,2014-01,3종,9351
154,안영,2014-01,4종,5751
154,안영,2014-01,5종,7425
154,안영,2014-01,6종,19766
155,논산,2014-01,1종,201071
155,논산,2014-01,2종,15488
155,논산,2014-01,3종,13957
155,논산,2014-01,4종,11052
155,논산,2014-01,5종,12174
155,논산,2014-01,6종,8477
156,익산,2014-01,1종,269613
156,익산,2014-01,2종,20964
156,익산,2014-01,3종,26704
156,익산,2014-01,4종,18001
156,익산,2014-01,5종,25534
156,익산,2014-01,6종,8847
157,삼례,2014-01,1종,107247
157,삼례,2014-01,2종,7448
157,삼례,2014-01,3종,7660
157,삼례,2014-01,4종,5384
157,삼례,2014-01,5종,10028
157,삼례,2014-01,6종,3359
158,전주,2014-01,1종,425913
158,전주,2014-01,2종,19732
158,전주,2014-01,3종,46331
158,전주,2014-01,4종,18822
158,전주,2014-01,5종,38218
158,전주,2014-01,6종,12675
159,서전주,2014-01,1종,240670
159,서전주,2014-01,2종,11343
159,서전주,2014-01,3종,10750
159,서전주,2014-01,4종,6528
159,서전주,2014-01,5종,7003
159,서전주,2014-01,6종,7162
160,김제,2014-01,1종,107513
160,김제,2014-01,2종,6045
160,김제,2014-01,3종,7631
160,김제,2014-01,4종,3474
160,김제,2014-01,5종,4562
160,김제,2014-01,6종,3325
161,금산사,2014-01,1종,34351
161,금산사,2014-01,2종,2167
161,금산사,2014-01,3종,1838
161,금산사,2014-01,4종,632
161,금산사,2014-01,5종,1678
161,금산사,2014-01,6종,1042
162,태인,2014-01,1종,79383
162,태인,2014-01,2종,5019
162,태인,2014-01,3종,7458
162,태인,2014-01,4종,4058
162,태인,2014-01,5종,5298
162,태인,2014-01,6종,2366
163,정읍,2014-01,1종,229969
163,정읍,2014-01,2종,13870
163,정읍,2014-01,3종,19445
163,정읍,2014-01,4종,10913
163,정읍,2014-01,5종,9955
163,정읍,2014-01,6종,7044
164,무주,2014-01,1종,211023
164,무주,2014-01,2종,3542
164,무주,2014-01,3종,6559
164,무주,2014-01,4종,2275
164,무주,2014-01,5종,1576
164,무주,2014-01,6종,6677
165,백양사,2014-01,1종,62646
165,백양사,2014-01,2종,2004
165,백양사,2014-01,3종,3083
165,백양사,2014-01,4종,1455
165,백양사,2014-01,5종,1231
165,백양사,2014-01,6종,1703
166,장성,2014-01,1종,138529
166,장성,2014-01,2종,11262
166,장성,2014-01,3종,12836
166,장성,2014-01,4종,10130
166,장성,2014-01,5종,11931
166,장성,2014-01,6종,5058
167,광주,2014-01,1종,954734
167,광주,2014-01,2종,34843
167,광주,2014-01,3종,75646
167,광주,2014-01,4종,39550
167,광주,2014-01,5종,27152
167,광주,2014-01,6종,28304
168,덕유산,2014-01,1종,149217
168,덕유산,2014-01,2종,1465
168,덕유산,2014-01,3종,4840
168,덕유산,2014-01,4종,584
168,덕유산,2014-01,5종,1425
168,덕유산,2014-01,6종,3481
169,장수,2014-01,1종,123522
169,장수,2014-01,2종,3536
169,장수,2014-01,3종,5006
169,장수,2014-01,4종,1899
169,장수,2014-01,5종,2129
169,장수,2014-01,6종,3553
170,서상,2014-01,1종,43969
170,서상,2014-01,2종,2016
170,서상,2014-01,3종,4704
170,서상,2014-01,4종,3096
170,서상,2014-01,5종,2135
170,서상,2014-01,6종,1699
171,마성,2014-01,1종,230688
171,마성,2014-01,2종,4803
171,마성,2014-01,3종,17326
171,마성,2014-01,4종,1196
171,마성,2014-01,5종,533
171,마성,2014-01,6종,13347
172,용인,2014-01,1종,747703
172,용인,2014-01,2종,55527
172,용인,2014-01,3종,30800
172,용인,2014-01,4종,18068
172,용인,2014-01,5종,10669
172,용인,2014-01,6종,53814
173,양지,2014-01,1종,753494
173,양지,2014-01,2종,85209
173,양지,2014-01,3종,62494
173,양지,2014-01,4종,47776
173,양지,2014-01,5종,36247
173,양지,2014-01,6종,46952
174,춘천,2014-01,1종,693576
174,춘천,2014-01,2종,16169
174,춘천,2014-01,3종,23157
174,춘천,2014-01,4종,5558
174,춘천,2014-01,5종,4860
174,춘천,2014-01,6종,41173
175,덕평,2014-01,1종,388156
175,덕평,2014-01,2종,41792
175,덕평,2014-01,3종,23875
175,덕평,2014-01,4종,18072
175,덕평,2014-01,5종,9255
175,덕평,2014-01,6종,22388
176,이천,2014-01,1종,527131
176,이천,2014-01,2종,39143
176,이천,2014-01,3종,45698
176,이천,2014-01,4종,41278
176,이천,2014-01,5종,29180
176,이천,2014-01,6종,28089
177,여주,2014-01,1종,316461
177,여주,2014-01,2종,17667
177,여주,2014-01,3종,36297
177,여주,2014-01,4종,20450
177,여주,2014-01,5종,10028
177,여주,2014-01,6종,15531
178,문막,2014-01,1종,353380
178,문막,2014-01,2종,19846
178,문막,2014-01,3종,33805
178,문막,2014-01,4종,11184
178,문막,2014-01,5종,11778
178,문막,2014-01,6종,15776
179,홍천,2014-01,1종,280087
179,홍천,2014-01,2종,8144
179,홍천,2014-01,3종,13458
179,홍천,2014-01,4종,4446
179,홍천,2014-01,5종,2761
179,홍천,2014-01,6종,19473
180,원주,2014-01,1종,232340
180,원주,2014-01,2종,13088
180,원주,2014-01,3종,15784
180,원주,2014-01,4종,8249
180,원주,2014-01,5종,8380
180,원주,2014-01,6종,11540
181,새말,2014-01,1종,187502
181,새말,2014-01,2종,6490
181,새말,2014-01,3종,9702
181,새말,2014-01,4종,3106
181,새말,2014-01,5종,4245
181,새말,2014-01,6종,6734
182,둔내,2014-01,1종,151689
182,둔내,2014-01,2종,3479
182,둔내,2014-01,3종,7234
182,둔내,2014-01,4종,1657
182,둔내,2014-01,5종,786
182,둔내,2014-01,6종,6102
183,면온,2014-01,1종,147598
183,면온,2014-01,2종,1823
183,면온,2014-01,3종,7228
183,면온,2014-01,4종,671
183,면온,2014-01,5종,1803
183,면온,2014-01,6종,4824
184,대관령,2014-01,1종,278052
184,대관령,2014-01,2종,4902
184,대관령,2014-01,3종,21104
184,대관령,2014-01,4종,754
184,대관령,2014-01,5종,970
184,대관령,2014-01,6종,9924
185,평창,2014-01,1종,118464
185,평창,2014-01,2종,3163
185,평창,2014-01,3종,12286
185,평창,2014-01,4종,1365
185,평창,2014-01,5종,1660
185,평창,2014-01,6종,5016
186,속사,2014-01,1종,35173
186,속사,2014-01,2종,825
186,속사,2014-01,3종,2500
186,속사,2014-01,4종,339
186,속사,2014-01,5종,613
186,속사,2014-01,6종,1121
187,진부,2014-01,1종,167941
187,진부,2014-01,2종,3332
187,진부,2014-01,3종,11411
187,진부,2014-01,4종,1173
187,진부,2014-01,5종,1491
187,진부,2014-01,6종,6679
188,서충주,2014-01,1종,72508
188,서충주,2014-01,2종,4962
188,서충주,2014-01,3종,6625
188,서충주,2014-01,4종,4915
188,서충주,2014-01,5종,6502
188,서충주,2014-01,6종,3000
189,강릉,2014-01,1종,470650
189,강릉,2014-01,2종,11777
189,강릉,2014-01,3종,38387
189,강릉,2014-01,4종,7835
189,강릉,2014-01,5종,8219
189,강릉,2014-01,6종,22453
190,동서울,2014-01,1종,3135484
190,동서울,2014-01,2종,172008
190,동서울,2014-01,3종,208694
190,동서울,2014-01,4종,88909
190,동서울,2014-01,5종,61237
190,동서울,2014-01,6종,148905
191,경기광주,2014-01,1종,694671
191,경기광주,2014-01,2종,40212
191,경기광주,2014-01,3종,27976
191,경기광주,2014-01,4종,9407
191,경기광주,2014-01,5종,4021
